Time,Error
456,0.219208
457,0.248962
458,0.219603
459,0.193561
460,0.198792
461,0.200627
462,0.174700
463,0.240735
464,0.219638
465,0.221238
466,0.210943
467,0.210907
468,0.207917
469,0.192312
470,0.199230
471,0.219817
472,0.260360
473,0.241042
474,0.216547
475,0.193789
476,0.187844
477,0.175371
478,0.168701
479,0.181799
480,0.202086
481,0.202751
482,0.188847
483,0.180994
484,0.187056
485,0.162779
486,0.157450
487,0.172630
488,0.157763
489,0.144426
490,0.141849
491,0.133430
492,0.121629
493,0.129646
494,0.125084
495,0.116635
496,0.113287
497,0.108463
498,0.100373
499,0.110698
500,0.115808
501,0.118943
502,0.114786
503,0.110244
504,0.150925
505,0.147089
506,0.140734
507,0.135272
508,0.147260
509,0.177244
510,0.176298
511,0.153651
512,0.142774
513,0.127680
514,0.115786
515,0.111468
516,0.109872
517,0.105811
518,0.103670
519,0.099942
520,0.099209
521,0.096473
522,0.091939
523,0.100686
524,0.107003
525,0.126728
526,0.120087
527,0.122568
528,0.131692
529,0.140762
530,0.124322
531,0.119734
532,0.114551
533,0.110247
534,0.111187
535,0.119439
536,0.105579
537,0.101930
538,0.105624
539,0.112448
540,0.113751
541,0.122548
542,0.130258
543,0.116221
544,0.122691
545,0.107643
546,0.105137
547,0.144773
548,0.132061
549,0.118495
550,0.106997
551,0.093362
552,0.089028
553,0.093343
554,0.091043
555,0.085904
556,0.078887
557,0.087481
558,0.081609
559,0.073479
560,0.068748
561,0.062813
562,0.056943
563,0.071125
564,0.069781
565,0.068020
566,0.068006
567,0.075735
568,0.072560
569,0.069133
570,0.067798
571,0.061291
572,0.058871
573,0.055258
574,0.051286
575,0.052604
576,0.048539
577,0.046863
578,0.046538
579,0.058095
580,0.065070
581,0.059364
582,0.061663
583,0.060947
584,0.056625
585,0.056074
586,0.062492
587,0.064421
588,0.061748
589,0.064630
590,0.069828
591,0.070153
592,0.073874
593,0.073039
594,0.071322
595,0.082679
596,0.080284
597,0.084111
598,0.086401
599,0.080927
600,0.076763
601,0.071508
602,0.066823
603,0.062828
604,0.059152
605,0.052882
606,0.052327
607,0.050935
608,0.050008
609,0.052244
610,0.055937
611,0.054118
612,0.052268
613,0.052223
614,0.050373
615,0.047107
616,0.046745
617,0.066910
618,0.066310
619,0.062159
620,0.066327
621,0.066009
622,0.068905
623,0.070126
624,0.062042
625,0.057292
626,0.080961
627,0.111671
628,0.100418
629,0.090273
630,0.082413
631,0.112687
632,0.106158
633,0.108321
634,0.109223
635,0.094140
636,0.128092
637,0.123358
638,0.115576
639,0.110101
640,0.099786
641,0.099630
642,0.085081
643,0.080418
644,0.086589
645,0.117930
646,0.109880
647,0.098541
648,0.103772
649,0.103664
650,0.100969
651,0.096449
652,0.094157
653,0.089353
654,0.087444
655,0.087742
656,0.081691
657,0.079726
658,0.078833
659,0.078817
660,0.078331
661,0.078967
662,0.078064
663,0.073811
664,0.073803
665,0.073333
666,0.072737
667,0.070875
668,0.068305
669,0.064606
670,0.060482
671,0.058922
672,0.056590
673,0.073259
674,0.070222
675,0.073572
676,0.073071
677,0.067204
678,0.060128
679,0.057815
680,0.054016
681,0.047249
682,0.057978
683,0.058265
684,0.059393
685,0.058246
686,0.060076
687,0.061079
688,0.070156
